magnitude,longitude,latitude
1.85,-155.245498657227,19.3843326568604
1.76,-155.255493164062,19.3850002288818
2.44,-116.4573333,33.5253333
1.09,-122.81566619873,38.8208351135254
1.2,-147.0504,65.0195
2.49,-155.440002441406,19.0400009155273
3.6,-153.95,58.2429
1.9,-150.1918,61.8902
1.74,-155.234832763672,19.3815002441406
2,-104.294,31.629
1.4,-150.7768,61.6776
1.7,-104.123,31.617
2.52,-155.239333333333,19.384
2.2,-151.3181,62.9388
1.72000003,-155.240829467773,19.3836669921875
2.2,-152.006,59.9563
1.6,-119.4952,39.5157
1.2,-150.6624,61.3746
1.6,-104.2,31.658
0.72,-122.799003601074,38.8328323364258
1.89,-155.244,19.3856666666667
1.91,-155.262664794922,19.3491668701172
2.46,-115.6103333,31.5006667
1.04,-122.761329650879,38.8228340148926
1.3,-150.658,62.8972
0.96,-118.847,37.5786666666667
0.7,-116.2526,36.6695
0.79,-122.804832458496,38.8170013427734
2.26,-66.419,18.2421666666667
1.3,-150.5327,63.2125
1.34,-117.3081667,34.0968333
1.64,-122.744834899902,38.7713317871094
4.3,49.5608,32.7876
1.75,-155.240166666667,19.3786666666667
2.35,-124.34349822998,40.3663330078125
1.42,-118.451,34.3271667
1.48,-122.729667663574,38.7939987182617
2.11,-97.535,35.08066667
4.7,-82.7428,5.8822
1.6,-152.1562,61.1022
0.9,-122.821830749512,38.8128318786621
1.09,-122.814331054688,38.8325004577637
1.64,-121.304832458496,36.6391677856445
0.32,-122.806663513184,38.8236656188965
2,-155.243166666667,19.383
1.71,-155.248672485352,19.3921661376953
2.32,-155.497329711914,19.1896667480469
1.86000001,-155.499160766602,19.1841659545898
1.95,-155.237666666667,19.3826666666667
4.4,151.6172,-5.408
2,-152.4889,60.3352
1.4,-152.6579,59.8552
1.1,-147.079,61.0183
0.97,-177.504166666667,51.7848333333333
1.4,-148.9093,63.4709
-0.75,-153.431333333333,59.3593333333333
1.79,-121.483329772949,36.7311668395996
2.1,-104.326,31.667
1.17,-118.3076667,33.2963333
